Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
1000,1.3918574,0.00029998503,-0.09459084,-0.5101553956826267,-0.5101553975035651,280.92857142857144,0.00920076,0.23543614
2000,1.3599155,0.00029995505,-0.030912079,-0.23988218658736774,-0.23988218734003958,482.7857142857143,0.0017278894,0.23895976
3000,1.332937,0.00029992504,-0.09479695,-0.35267670738200346,-0.35267671041413756,361.6666666666667,0.0019775664,0.23760845
4000,1.2991449,0.000299895,-0.03877873,-0.2606357383940901,-0.26063574042161364,428.57142857142856,0.0009363264,0.23264137
5000,1.2687238,0.000299865,-0.062724955,-0.23222312058966893,-0.23222310716090971,437.61538461538464,0.0008688466,0.24517554
6000,1.2385294,0.00029983502,-0.04808468,-0.1496466749658187,-0.14964667238006465,383.3333333333333,0.00023226118,0.2326657
7000,1.2164785,0.00029980502,-0.12370463,-0.34494568107892637,-0.3449456775468444,317.8695652173913,0.0009645587,0.23550645
8000,1.2102456,0.00029977504,-0.25997433,-0.6221432749633536,-0.6221432690125023,160.66666666666666,0.0046019563,0.23321705
9000,1.1952013,0.00029974504,-0.33695996,-0.5301977035308642,-0.5301977019469575,98.11111111111111,0.006493426,0.2324198
10000,1.2261744,0.00029971503,-0.05108289,-0.21296670086060962,-0.21296670170613652,486.4166666666667,0.0007969736,0.23441142
11000,1.2368511,0.00029968502,-0.06537889,-0.23225839026272296,-0.2322583925069921,379.73333333333335,0.0030982806,0.2359025
12000,1.2176806,0.00029965505,-0.05150321,0.03896496711919705,0.038964962740040694,412.8666666666667,0.002654078,0.23004754
13000,1.1986127,0.00029962504,0.014133657,0.07843446802525293,0.07843446177381945,247.8095238095238,0.013395914,0.23473173
14000,1.1641691,0.00029959503,-0.0050012176,0.05157362052092427,0.05157361929234053,316.0,0.005327578,0.23969713
15000,1.1325531,0.00029956503,-0.2894238,-0.482842588564381,-0.4828425926612605,118.23333333333333,0.013497536,0.23017791
16000,1.1128681,0.00029953502,-0.18988623,-0.3283786565242779,-0.328378655049857,130.26190476190476,0.013430003,0.2383244
17000,1.0710186,0.000299505,-0.13357913,-0.13334330833340818,-0.13334330809339992,164.94594594594594,0.011599878,0.23632024
18000,1.0113417,0.000299475,-0.0715814,-0.28018845718067426,-0.2801884686257556,454.9230769230769,0.00015863818,0.23268329
19000,0.95686525,0.00029944503,-0.029345924,-0.1615333533845842,-0.16153336423106643,449.5833333333333,0.0012297321,0.23448181
20000,0.90203065,0.00029941506,-0.053027872,-0.23449617337722045,-0.2344961782127939,485.46153846153845,0.0005324136,0.23646463
21000,0.8935025,0.00029938502,-0.11566718,-0.341364779673955,-0.3413647794349184,344.3529411764706,0.003977066,0.23387386
22000,0.8600492,0.00029935504,-0.060113557,-0.02164231692082607,-0.021642322459368958,454.9230769230769,0.0065658907,0.24435936
23000,0.8355498,0.00029932504,0.026957948,-0.01944824560944523,-0.019448248074045944,430.92857142857144,0.0023323207,0.22282971
24000,0.8192655,0.00029929503,-0.04356072,-0.10872917428302269,-0.10872917773015918,496.0,2.8692255e-05,0.2301663
25000,0.7966366,0.00029926503,-0.13929428,-0.5196140971779823,-0.5196141007159167,221.0,0.004680867,0.22596575
26000,0.7596466,0.00029923505,-0.11402266,-0.4923942155916901,-0.4923942133040434,372.6470588235294,0.0021065408,0.23304895
27000,0.72622144,0.000299205,-0.1233215,-0.2164916725208362,-0.2164916816608032,453.0833333333333,0.00086100685,0.22275075
28000,0.6934677,0.00029917504,-0.074508235,-0.23313848172815946,-0.23313848244400176,460.46153846153845,0.0006929328,0.23142613
29000,0.6634697,0.00029914503,-0.0662466,-0.2273375573568046,-0.22733755908016715,416.35714285714283,0.0022614654,0.23002885
30000,0.62743104,0.00029911502,-0.08208895,-0.34209865849051213,-0.34209865714445997,313.1111111111111,0.0012138941,0.22003838
31000,0.6141428,0.00029908505,-0.18916875,-0.5852360472199507,-0.585236051945003,369.9375,0.0027498354,0.23132356
32000,0.5809947,0.00029905504,-0.053846627,-0.11463335746278365,-0.11463335883051211,474.25,0.002102545,0.23182784
33000,0.5349422,0.00029902504,-0.08017171,-0.2852732523211411,-0.2852732552171022,426.92857142857144,0.0012867664,0.23064527
34000,0.51342356,0.00029899506,-0.066052854,-0.2870250480392805,-0.2870250505422099,477.6923076923077,0.0011304667,0.22132076
35000,0.51551795,0.000298965,-0.06513179,-0.23610472358996049,-0.23610472783298064,393.5,0.000811625,0.23473097
36000,0.47969282,0.00029893502,-0.094889,-0.35959381953580305,-0.359593818671442,368.8125,0.002004171,0.22866319
37000,0.45934302,0.000298905,-0.13979594,-0.40504381647333504,-0.4050438220212527,331.3,0.002938015,0.23365965
38000,0.4241411,0.00029887503,-0.15516485,-0.47383814839565236,-0.47383815566354315,260.1304347826087,0.00840985,0.23724672
39000,0.40004435,0.00029884503,-0.1699044,-0.7140334571401278,-0.7140334604591771,330.8333333333333,0.0044251475,0.23283574
40000,0.3769858,0.00029881502,-0.14046675,-0.1670821871874588,-0.16708218933633492,369.2142857142857,0.0024739269,0.22510767
41000,0.3817026,0.00029878502,-0.117424056,-0.25077971298014745,-0.25077971365999474,381.125,0.0013093963,0.22604918
42000,0.39158672,0.000298755,-0.02940012,-0.2992115860375074,-0.29921158741168397,433.84615384615387,0.0015709756,0.2327332
43000,0.37719023,0.000298725,-0.26783192,-0.5426735059628564,-0.5426735117955339,208.3548387096774,0.007910147,0.22939578
44000,0.35208136,0.00029869503,-0.1638149,-0.47257768700977687,-0.4725776971804168,296.5263157894737,0.001979486,0.22375646
45000,0.33807352,0.00029866505,-0.11955982,-0.20760579622135714,-0.20760579956801778,475.38461538461536,0.0010598964,0.2335021
46000,0.31771222,0.00029863504,-0.050095856,-0.026369244863207523,-0.026369243852549025,484.7692307692308,0.00074054016,0.23431839
47000,0.29099023,0.00029860504,-0.026743604,-0.0974437624681741,-0.09744376143180489,496.0,1.4827032e-05,0.2327158
48000,0.25716227,0.00029857503,-0.050754912,-0.15222501669389507,-0.15222501745423264,474.5833333333333,0.000432076,0.23304434
49000,0.27755445,0.00029854503,-0.02991953,-0.007291694714998205,-0.007291697412711073,489.5,0.0014487568,0.22518444
50000,0.27315345,0.00029851502,-0.024708066,-0.1937666859012097,-0.19376668802033237,467.3333333333333,0.0019927656,0.20607354
51000,0.23001052,0.00029848504,-0.045367084,-0.22272501749296983,-0.2227250151091236,412.26666666666665,0.0002530848,0.2283832
52000,0.2074516,0.00029845504,-0.06771215,-0.291869243965126,-0.29186924680163007,442.38461538461536,0.0019270194,0.22574495
53000,0.18654118,0.00029842503,-0.102397695,-0.37439837511628865,-0.37439837164929485,405.3333333333333,0.0018423758,0.2282141
54000,0.1670827,0.00029839503,-0.057922006,-0.1724250397777983,-0.17242504478027904,421.2857142857143,0.0022515666,0.22239976
55000,0.14654791,0.000298365,-0.017970063,-0.1252673173036713,-0.12526731755189338,472.3076923076923,0.009120661,0.20262456
56000,0.119624846,0.000298335,-0.06629562,-0.17323398483651026,-0.17323398405538423,379.07142857142856,0.007883912,0.22661398
57000,0.11067929,0.00029830504,-0.047659736,-0.23546156477039823,-0.23546156397857815,461.38461538461536,0.0010483451,0.21725169
58000,0.09630522,0.00029827506,-0.046221532,-0.15436667064204812,-0.1543666731349731,468.5833333333333,0.00012536818,0.21840186
59000,0.08595588,0.00029824502,-0.089913055,-0.33383031434526567,-0.3338303198863861,340.7368421052632,0.0029802131,0.21858448
