Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
1000,1.4010763,0.00029998503,-0.095575646,-0.3234312986205623,-0.32343129641885754,226.85,0.009273065,0.23358934
2000,1.3621,0.00029995505,-0.10281027,-0.42515337479611237,-0.4251533758632528,394.93333333333334,0.0013990268,0.2455951
3000,1.3445538,0.00029992504,-0.08186362,-0.3240750417113304,-0.3240750476999286,397.6,0.001478128,0.24033156
4000,1.3132645,0.000299895,-0.039416134,-0.13157917528102794,-0.1315791787451417,478.25,3.9161296e-05,0.24607727
5000,1.2771043,0.000299865,-0.024412561,-0.11804792797192931,-0.11804792952307253,496.0,1.7219196e-05,0.24031551
6000,1.2644658,0.00029983502,-0.021447778,-0.0992791789273421,-0.09927917846713778,496.0,1.1339164e-05,0.24359606
7000,1.2500538,0.00029980502,-0.020564176,-0.09830626309849322,-0.09830626159676588,496.0,5.988999e-07,0.24829708
8000,1.2070924,0.00029977504,-0.010734738,-0.21136540733277798,-0.2113654112556385,458.15384615384613,0.001112864,0.2346692
9000,1.1514071,0.00029974504,-0.018829538,-0.09914584613094728,-0.09914584506365524,496.0,2.8143018e-05,0.233087
10000,1.1131451,0.00029971503,-0.019107195,-0.09998126312469442,-0.09998126152413533,496.0,1.4213014e-06,0.24030875
11000,1.1072884,0.00029968502,-0.018537963,-0.09705417960261305,-0.09705417835994012,496.0,1.3055713e-06,0.23744176
12000,1.098941,0.00029965505,-0.01936895,-0.10238542795802157,-0.10238542829256403,496.0,2.4594744e-06,0.23009674
13000,1.0710499,0.00029962504,-0.13995038,-0.4148508311191108,-0.41485082938066853,168.46875,0.0016066318,0.23330139
14000,1.0677732,0.00029959503,-0.026861807,-0.09646459583503504,-0.09646459489961974,496.0,4.14764e-06,0.23815984
15000,1.0438753,0.00029956503,-0.021221928,-0.09769376289720337,-0.09769376162648769,496.0,2.161669e-06,0.23976758
16000,0.99635947,0.00029953502,-0.020381832,-0.09968126301343243,-0.09968126179440635,496.0,1.402909e-05,0.24785987
17000,0.9535283,0.000299505,-0.029959228,-0.15517502521666196,-0.15517502394882635,483.38461538461536,0.0012662638,0.24235745
18000,0.90030056,0.000299475,-0.018720174,-0.07443960616365075,-0.07443960724761685,468.4166666666667,0.0021867554,0.24056202
19000,0.8561256,0.00029944503,-0.017326074,-0.037348098264863856,-0.03734809528507937,472.9230769230769,0.0012212994,0.23585196
20000,0.82512206,0.00029941506,-0.014036235,-0.09693334631932278,-0.0969333450072251,496.0,4.1063195e-05,0.23874088
21000,0.8274294,0.00029938502,-0.058297895,-0.3325779829722117,-0.3325779804804102,343.6470588235294,0.0011552143,0.23369193
22000,0.8242263,0.00029935504,-0.025057295,-0.10357084559897582,-0.10357084491624846,496.0,0.00014643511,0.24502471
23000,0.785604,0.00029932504,-0.021433959,-0.09997501395021875,-0.09997501178637928,496.0,2.585634e-05,0.2419183
24000,0.75355667,0.00029929503,-0.022342732,-0.1669196568296424,-0.16691965513317492,436.92857142857144,0.00039663678,0.23512885
25000,0.7320724,0.00029926503,-0.028451363,-0.09915834486794968,-0.09915834421978313,496.0,1.945338e-05,0.23970312
26000,0.71043473,0.00029923505,-0.024814945,-0.13015962313287532,-0.13015962399339726,445.0,3.4125398e-05,0.23750153
27000,0.6903762,0.000299205,-0.023125619,-0.09760626281301181,-0.09760626168084248,496.0,2.5977468e-05,0.23552795
28000,0.67088276,0.00029917504,-0.030804805,-0.13517084306416413,-0.13517084143298538,480.75,0.00018489048,0.24666163
29000,0.65327895,0.00029914503,-0.021646166,-0.09742917989691098,-0.09742917841685994,496.0,3.2061762e-05,0.24515718
30000,0.62499934,0.00029911502,-0.02039817,-0.09681043013309439,-0.09681042833290121,496.0,1.5316767e-06,0.23862906
31000,0.60102916,0.00029908505,-0.01757497,-0.09578334594455858,-0.09578334487802447,496.0,1.3706342e-05,0.24416052
32000,0.5763236,0.00029905504,-0.014254565,-0.1365423182455393,-0.13654231691208013,459.61538461538464,0.00032270516,0.22984046
33000,0.548286,0.00029902504,-0.020171672,-0.10569584602490067,-0.10569584524788904,496.0,1.1462552e-06,0.23798451
34000,0.5329779,0.00029899506,-0.019381488,-0.09555209575531383,-0.09555209485400458,496.0,6.3721745e-07,0.23687829
