Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
1000,1.3974876,0.00029998503,-0.024571838,-0.2747454960560638,-0.2747455011097124,355.3636363636364,0.009893959,0.23743883
2000,1.3506985,0.00029995505,-0.07245831,-0.25411809670428437,-0.2541180953674282,378.1111111111111,0.0027090241,0.23802143
3000,1.3162446,0.00029992504,-0.021498106,-0.08720387704670429,-0.08720387496661995,435.46153846153845,0.0020772165,0.23657812
4000,1.2814687,0.000299895,-0.0504077,-0.20541924582077906,-0.20541924314042823,431.0769230769231,0.0003897701,0.23533222
5000,1.2694926,0.000299865,-0.11359938,-0.46426101366523653,-0.4642610163829204,364.0,0.005024137,0.23743984
6000,1.2082056,0.00029983502,-0.038560513,-0.22037035576067865,-0.22037035687492335,388.375,0.003068817,0.23950972
7000,1.148549,0.00029980502,-0.024473248,-0.11102292609090607,-0.1110229281454546,496.0,1.578756e-05,0.23887068
8000,1.1101081,0.00029977504,-0.01893354,-0.23649170342832804,-0.23649170560914476,486.5,0.0010814768,0.23692898
9000,1.0865756,0.00029974504,-0.022461696,-0.10136459534987807,-0.10136459498380646,496.0,1.8371086e-06,0.23774743
10000,1.0724382,0.00029971503,-0.01877554,-0.16711539259323707,-0.16711539218704274,437.2307692307692,0.00016637832,0.24394532
11000,1.0460242,0.00029968502,-0.025860218,-0.19696076906153134,-0.19696077802707027,444.2142857142857,0.0026585818,0.2442458
12000,0.9890152,0.00029965505,-0.02308067,-0.02219040082910886,-0.022190400932511414,475.38461538461536,0.0013873269,0.24840604
13000,0.94692326,0.00029962504,-0.018584989,-0.18189811004469028,-0.18189811209651033,465.0,0.002187726,0.2445664
14000,0.8920119,0.00029959503,-0.12392256,-0.49239826248958707,-0.4923982656663221,391.07142857142856,0.0012236828,0.24835874
15000,0.86873865,0.00029956503,0.008028865,-0.01144343555757874,-0.011443446917550509,326.4736842105263,0.017486438,0.24162325
16000,0.8091556,0.00029953502,-0.039089832,-0.12457117882485573,-0.12457117717685133,441.7692307692308,0.0016870823,0.24050887
17000,0.74582726,0.000299505,-0.06438495,-0.18831710466607052,-0.18831709913733488,275.40909090909093,0.004903043,0.23801629
18000,0.6929579,0.000299475,-0.07839457,-0.21776139829307795,-0.21776140450831669,309.09090909090907,0.010491557,0.24376479
19000,0.6306075,0.00029944503,-0.13284421,-0.363612553443421,-0.36361254949654476,229.6818181818182,0.006121273,0.23721263
20000,0.56883943,0.00029941506,-0.06643028,-0.2518765712156892,-0.25187657091373694,389.8125,0.00046079597,0.23862055
21000,0.5209879,0.00029938502,-0.088042684,-0.38760627433657646,-0.38760628252672785,460.9166666666667,0.0006522565,0.23909631
22000,0.4894172,0.00029935504,-0.032800093,-0.12269584756965439,-0.12269584637215303,496.0,7.793237e-06,0.23005822
23000,0.47003087,0.00029932504,-0.068268135,-0.23509708824841416,-0.2350970896299901,398.7647058823529,0.001801636,0.24864225
24000,0.45026228,0.00029929503,-0.15705526,-0.4043726571613834,-0.4043726614787114,292.57142857142856,0.0013174989,0.23895253
25000,0.4359573,0.00029926503,-0.13254112,-0.3669047150760889,-0.3669047164393078,344.0,0.0011677945,0.22555466
26000,0.42590308,0.00029923505,-0.1340917,-0.3286031697643921,-0.3286031675885397,372.875,0.001336018,0.23893163
27000,0.41090387,0.000299205,-0.05075328,-0.2106230937374326,-0.21062309452771352,457.0769230769231,0.0004765468,0.23967505
28000,0.3927209,0.00029917504,-0.05555068,-0.06044110629175391,-0.060441109009194145,425.57142857142856,0.008001517,0.23068655
29000,0.3429717,0.00029914503,-0.032927528,-0.06385001912713051,-0.0638500199943337,468.1666666666667,0.0008347639,0.21942726
30000,0.3206618,0.00029911502,-0.025191374,-0.07712502448031536,-0.07712502574339361,465.7692307692308,0.0008152703,0.22295009
31000,0.28175268,0.00029908505,-0.04619783,-0.2391083617694676,-0.23910836366151975,453.5,0.0010565533,0.23946282
32000,0.26021016,0.00029905504,-0.04168028,-0.23223216838336416,-0.23223216558939644,412.7857142857143,0.0004623406,0.22767912
33000,0.26377788,0.00029902504,-0.07124888,-0.22478464654145333,-0.2247846449133179,474.38461538461536,0.0005967321,0.22916926
34000,0.257784,0.00029899506,-0.100142665,-0.23900625662645325,-0.23900625729731928,370.6875,0.00041231624,0.23611653
35000,0.25297934,0.000298965,-0.09176587,-0.23660388678455582,-0.23660389196643686,440.53846153846155,0.0009914294,0.23663117
36000,0.24930756,0.00029893502,-0.061075915,-0.1463166856362174,-0.14631668303142456,492.4166666666667,0.00015718707,0.23597993
37000,0.2537159,0.000298905,-0.23142213,-0.5141259723875139,-0.5141259709825395,232.25,0.004573017,0.22445972
38000,0.23374578,0.00029887503,-0.1230117,-0.3176195147550768,-0.3176195140944805,318.5,0.0030701864,0.23668134
39000,0.2119061,0.00029884503,-0.2330331,-0.4695612582024829,-0.4695612634512082,234.51724137931035,0.0019233531,0.23335598
40000,0.17357433,0.00029881502,-0.0917241,-0.34151790836559875,-0.3415179094967503,386.85714285714283,0.00048245242,0.23413648
41000,0.1373839,0.00029878502,-0.07324123,-0.1613288689404726,-0.16132886188741116,492.7692307692308,0.00010850215,0.23464695
42000,0.10396765,0.000298755,-0.1591605,-0.3820609239780385,-0.3820609238607532,234.82608695652175,0.0023580047,0.23776375
43000,0.10560094,0.000298725,-0.2772684,-0.4993208330520924,-0.49932083635831853,135.82978723404256,0.009607613,0.22710869
44000,0.12038321,0.00029869503,-0.35118243,-0.5681750660629145,-0.5681750716342192,133.64285714285714,0.0033109523,0.22909813
45000,0.12796515,0.00029866505,-0.29806632,-0.49081743885155604,-0.4908174428495761,132.3695652173913,0.0027039107,0.22015783
46000,0.12497979,0.00029863504,-0.27708286,-0.49485506045499017,-0.49485506658326944,152.9142857142857,0.0021420866,0.22413914
47000,0.13833414,0.00029860504,-0.11484972,-0.12437500983166198,-0.12437500889291186,457.25,9.521029e-05,0.23379706
48000,0.11495966,0.00029857503,-0.11453004,-0.2274694803895222,-0.227469477999168,358.72222222222223,0.00205285,0.22578469
49000,0.10396472,0.00029854503,-0.038472064,-0.10586347273336007,-0.10586347178622628,462.53846153846155,8.769634e-05,0.23327467
50000,0.06610362,0.00029851502,-0.09194467,-0.23623463934144148,-0.23623464221040755,452.0769230769231,0.00070606574,0.23928301
51000,0.06250126,0.00029848504,-0.09089174,-0.2118538748472929,-0.21185387592875207,440.7692307692308,0.0005816331,0.27495146
52000,0.06817004,0.00029845504,-0.24664614,-0.5360869314815653,-0.536086929300597,315.6842105263158,0.002041699,0.2321207
53000,0.04566191,0.00029842503,-0.15075947,-0.14546096260892227,-0.1454609642204332,382.3125,0.0038717694,0.22465566
54000,0.04847825,0.00029839503,-0.12720264,-0.41834348400956706,-0.41834348437585406,350.42105263157896,0.003105367,0.22266172
55000,0.015451503,0.000298365,-0.35813248,-0.6297307128086687,-0.6297307121935318,141.625,0.0034648306,0.21972556
56000,0.017416509,0.000298335,-0.19451678,-0.28246876935008913,-0.28246876815035193,361.0625,0.0018717565,0.23573112
57000,0.04715858,0.00029830504,-0.099208556,-0.2781033668667078,-0.27810336611073583,420.8666666666667,0.0009986934,0.22811416
58000,0.073354445,0.00029827506,-0.11307043,-0.13944002017378807,-0.13944001953059343,371.8666666666667,0.0019469291,0.22412637
59000,0.08553947,0.00029824502,-0.12843445,-0.3465206256574568,-0.34652062857361776,318.88235294117646,0.0007724879,0.22691922
60000,0.072263956,0.00029821502,-0.12248696,-0.31839537690393627,-0.31839537094708703,356.375,0.0010400427,0.22907673
61000,0.044894073,0.00029818504,-0.1280671,-0.4016972871290313,-0.4016972843489081,330.55555555555554,0.010886954,0.23175737
62000,0.044233672,0.00029815504,-0.1045853,-0.38037785194400286,-0.3803778485080329,340.55555555555554,0.0018870402,0.22243509
63000,0.034714635,0.00029812503,-0.20177609,-0.38993870289149607,-0.3899387020271454,288.09090909090907,0.0018286727,0.23298769
64000,0.014597255,0.00029809505,-0.23716328,-0.5371217542948822,-0.5371217509139267,201.83333333333334,0.0017072611,0.23275429
65000,0.01675232,0.00029806502,-0.22936812,-0.43082230657132137,-0.4308222986352727,311.3333333333333,0.0012606289,0.22454146
66000,-0.0014722586,0.00029803504,-0.149539,-0.3522853635470657,-0.3522853588807159,361.05882352941177,0.001792929,0.22478727
